module folder name,modulename,source,profiles,blank
ultimathule,,,['SS Safari'],
epsEridani,,,[],
SolarEclipse,,,[],
PlanetNineEvidence,,,['SS Safari'],
exo_Gliese581HS,,,[],
ProceduralStar,,,[],
moose,,,[],
inneroort,,,[],
P9uncertainty,,,[],
ndel2013,,,[],
sun,,,"['3DRainforest_V2', '3DRainforest_V2', '3DRainforest_V2', '3DRainforest_V3', '3DRainforest_V3', '3DRainforest_V3', 'KSC_show', 'KSC_show', 'KSC_show', 'SS Safari', 'SS Safari', 'SS Safari', 'SS Safari', 'SS Safari', 'SS Safari']",
obassociations,,,['SS Safari'],
AR_Scorpii,,,[],
ngc6302Particles,,,[],
TNO2,,,"['SS Safari', 'SS Safari']",
